,Topic,Count,Name,Representation,Representative_Docs
47,46,20,46_addiction_crowdsourcing_cigarette_behavioral,"['addiction', 'crowdsourcing', 'cigarette', 'behavioral', 'alcohol', 'use', 'best', 'xac', 'xef', 'careless']","['Alongside optimism about the practical\\nbene\\xef\\xac\\x81ts that crowdsourcing may provide are uncertainties about the\\nvalidity of these approaches and how they can (and cannot) be used.\\nThis special issue includes a collection of articles on best practices and\\nemerging research using crowdsourcing for addictions research.\\n\\nArticles included in this special issue emphasize that data quality\\nand control methods are critical in crowdsourcing platforms to\\nensure data are reliable and valid.', 'Addiction scientists will bene\\xef\\xac\\x81t\\nfrom the adoption of best practice guidelines in crowdsourcing as well as developing novel approaches,\\nvenues, and applications to advance the \\xef\\xac\\x81eld.\\n\\nPublic Health Signi\\xef\\xac\\x81cance\\nThe following set of articles in this special issue describes best practice methods and novel applications\\nof crowdsourcing in addiction and psychological science.', '4, 379\\xe2\\x80\\x93380\\nhttps://doi.org/10.1037/pha0000582\\n\\nExperimental and Clinical Psychopharmacology\\n\\nINTRODUCTION\\n\\nCrowdsourcing Methods in Addiction Science:\\n\\nEmerging Research and Best Practices\\n\\nJustin C. Strickland1, Michael Amlung2, 3, and Derek D. Reed2, 3\\n\\n1 Department of Psychiatry and Behavioral Sciences, Johns Hopkins University School of Medicine\\n\\n2 Department of Applied Behavioral Science, University of Kansas\\n\\n3 Cofrin Logan Center for Addiction Research and Treatment, Lawrence, Kansas, United States\\n\\nCrowdsourcing platforms such as Amazon Mechanical Turk, Proli\\xef\\xac\\x81c, and Qualtrics Panels have become a\\ndominant form of sampling in recent years.']"
48,47,20,47_team_members_section_form,"['team', 'members', 'section', 'form', 'task', 'agreement', 'xa2', 'contract', 'along', 'x99s']","['This  exercise  also  begins  to  develop  the  team\\xe2\\x80\\x99s  cognition,  the  organized \\nunderstanding  of  collective  knowledge  among  team  members  (Mohammed  & \\nDumville, 2001).\\n\\nThe second section requires group members to identify what the team\\xe2\\x80\\x99s task goals \\nand process goals are.', 'The last section involves each team mem-\\nber agreeing to the information on the form and willing to adopt the changes recom-\\nmended by the team for the next cycle.\\n\\nThis process of having the team agree to the team\\xe2\\x80\\x99s goals, coordination, communi-\\ncation, and leadership begins the process of managing the emerging states of team-\\nwork.', 'A team or collaborative agreement should cover a team\\xe2\\x80\\x99s goals and schedule, \\ninformation  pertaining  to  who  will  perform  which  tasks  and  when,  credit  for  task \\naccomplishment acknowledged by peers (other team members), contingencies around \\ncommunicating, and any conflicts of interests (Bennett & Gadlin, 2012).\\n\\nThe team agreement contract in Figure 2 provides information on who is on the \\nteam along with the team\\xe2\\x80\\x99s name.']"
49,48,20,48_depression_major_white_disorder,"['depression', 'major', 'white', 'disorder', 'depressive', 'matter', 'stress', 'nabnormalities', 'httlpr', 'subcortical']","['White Matter Microstructural Differences in Major Depression: Meta-Analytic Findings from \\nEnigma-MDD DTI.', 'Subcortical \\n\\nbrain structure and suicidal behaviour in major depressive disorder: a meta-analysis from the \\nENIGMA-MDD working group.', 'Cortical \\n\\nabnormalities in adults and adolescents with major depression based on brain scans from 20 \\ncohorts worldwide in the ENIGMA Major Depressive Disorder Working Group.']"
50,49,20,49_press_england_wiley_york,"['press', 'england', 'wiley', 'york', 'princeton', 'university', 'mit', 'books', 'london', 'new']","['London, England: Imperial College Press.\\n\\nMynatta,  C.  R.,  Dohertya,  M.  E.,  &  Tweneya,  R.  D.  (1977).', 'Princeton, NJ: Princeton University Press.\\n\\nSalter, S. J., Cox, M. J., Turek, E. M., Calus, S. T., Cookson, \\nW.\\xc2\\xa0O., Moffatt, M. F., .', 'New York, NY: Rockefeller University Press.\\n\\nChristensen, C. M., & van Bever, D. (2014).']"
51,50,20,50_human_hrd_resource_developing,"['human', 'hrd', 'resource', 'developing', 'nadvances', 'development', '22', 'authored', 'field', 'trends']","['The trends for each of the four journals highlight the point \\nthat single-authored research is becoming less common and that the trend of multiple-\\nauthored research has impacted the field of HRD and is expected to continue to grow.\\n\\n\\x0c76 \\n\\nAdvances in Developing Human Resources 22(1)\\n\\nFigure 1.', 'HRD = human resource development; HRDQ = Human Resource Development Quarterly;  \\nHRDI = Human Resource Development International; HRDR = Human Resource Development Review; \\nADHR = Advances in Developing Human Resources.\\n\\nThis increasing trend in multiauthor, multi-institutional, and multinational research \\ncollaborations has been found in other disciplines (Rahman et al., 2017; Yu et al., \\n2013).', 'He has published a number of book \\n\\n\\x0c86 \\n\\nAdvances in Developing Human Resources 22(1)\\n\\nchapters and research articles in Advances in Developing Human Resources; Human Resource \\nDevelopment Review; European Journal of Training & Development; International Journal of \\nTechnology,  Knowledge,  &  Society;  Journal  of  Information  and  Knowledge  Management; \\nJournal  of  Manufacturing  Technology  Management;  Journal  of  Knowledge  Management; \\nPerformance Improvement; Performance Improvement Quarterly; and Systems.\\n\\nRose Baker, PhD, is an assistant professor in the Learning Technologies Department in the \\nCollege of Information at the University of North Texas.']"
52,51,20,51_cid_21_jstor_utc,"['cid', '21', 'jstor', 'utc', '198', 'downloaded', 'feb', 'mon', '2023', '06']","['The most extreme example today of huge mobilization of re\\n 1062\\n\\nThis content downloaded from \\n(cid:0)198.51.92.3 on Mon, 06 Feb 2023 21:21:35 UTC(cid:0)\\n(cid:0) \\n\\nAll use subject to https://about.jstor.org/terms\\n\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n\\x0c Scientific Teams and Scientific Laboratories\\n\\n sources for a purpose that is at least partly scientific is the exploration\\n of space.', 'Most experiments\\n 1068\\n\\nThis content downloaded from \\n(cid:0)198.51.92.3 on Mon, 06 Feb 2023 21:21:35 UTC(cid:0)\\n(cid:0) \\n\\nAll use subject to https://about.jstor.org/terms\\n\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n\\x0c Scientific Teams and Scientific Laboratories\\n\\n seek to measure, in various nuclides, specific properties that already\\n fit into a general theoretical framework.', 'For many years applied chemistry\\n\\n 1069\\n\\nThis content downloaded from \\n(cid:0)198.51.92.3 on Mon, 06 Feb 2023 21:21:35 UTC(cid:0)\\n(cid:0) \\n\\nAll use subject to https://about.jstor.org/terms\\n\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n(cid:0)\\n\\x0c D^DALUS\\n\\n has been conducted to great advantage in the industrial laboratory\\n without benefit of students.']"
53,52,19,52_multidisciplinary_dehart_disciplinary_disciplines,"['multidisciplinary', 'dehart', 'disciplinary', 'disciplines', 'transdisciplinary', 'research', 'involves', 'multiple', 'cross', 'fiore']","['Multidisciplinary \\nincludes  research  that  involves  contributions  from  multiple  disciplines  (DeHart, \\n2017), defined as the \\xe2\\x80\\x9ccoordinated efforts of some set of disciplines designed \\nto  achieve  some  common  goal  or  goals\\xe2\\x80\\x9d  (Fiore,  2008,  p.  254).', 'This increasing trend falls under the umbrella of cross-disciplinary research \\nin which a shift in traditional academic practices involving collaboration trumps indi-\\nvidual achievement, creating a culture of collaboration, a collaboration cosmoplitan-\\nism, or a team science revolution (Bozeman & Youtie, 2017).\\n\\nCross-Disciplinary Collaboration\\nWhen dealing with cross-disciplinary research, multiple agents from differing disci-\\nplines  are  involved  in  exchanging  multiple  perspectives,  philosophies,  and  theories \\naimed toward the phenomenon and research problem.', 'TSci  views  cross-disciplinary  research  as  a \\n\\xe2\\x80\\x9cprocess of teamwork to be mastered\\xe2\\x80\\x9d (Fiore, 2008, p. 256).\\n\\nDepending on the level of complexity in a research problem, there are generally \\nfour different types of cross-disciplinary collaboration research models (i.e., uni-\\ndisciplinary, multidisciplinary, interdisciplinary, transdisciplinary).']"
54,53,19,53_2017_nneylon_lench_july,"['2017', 'nneylon', 'lench', 'july', '1973', 'earp', '14', '2015', '', '']","['(2017).', '(2017).', '(2017).']"
55,54,19,54_2005_1997_2000_99,"['2005', '1997', '2000', '99', 'september', '1955', 'october', '2004', '2002', '2003']","['(2005).', '(2005).', '(2005).']"
56,55,19,55_dragnet_nutrient_grasslands_xc2,"['dragnet', 'nutrient', 'grasslands', 'xc2', 'primates', 'global', 'primate', 'species', 'from', '40']","['Lauren\\xc2\\xa0L.\\xc2\\xa0Sullivan is an assistant \\nprofessor of biological sciences at the \\nUniversity of Missouri, Columbia, USA, and \\nthe principal investigator of the Disturbance \\nand Resources Across Global Grasslands \\n(DRAGNet) project.', '\\n\\nData from 2,329 infants collected by \\n150\\xc2\\xa0researchers in 16 countries across \\nthe\\xc2\\xa0world3.\\n81 researchers studied 421 primates8.\\n\\nUsing data from the broader Nutrient \\nNetwork experiment (>130 collaborating \\nsites), researchers documented effects \\nof controlled combinations of nutrient \\naddition and herbivore exclusion on plant \\ndiversity at 40 sites across the globe13.', 'In addition to the \\nManyBabies Consortium, the authors have \\ncollectively been involved in creating the \\nPsychological Science Accelerator (involv-\\ning some 1,200\\xc2\\xa0researchers)5, the Disturbance \\nand Resources Across Global Grasslands net-\\nwork (DRAGNet; around 100 researchers; \\nhttps://dragnetglobal.weebly.com) and the \\nManyPrimates project (comprising about \\n150\\xc2\\xa0researchers6; see \\xe2\\x80\\x98Examples of big-team \\nscience\\xe2\\x80\\x99).']"
57,56,19,56_xa0al_xc2_et_xc3,"['xa0al', 'xc2', 'et', 'xc3', 'xa6', 'ncamerer', '2018', 'nsource', 'continued', 'silberzahn']","['Silberzahn et\\xc2\\xa0al.', '(Continued)\\n\\nSource\\n\\nCamerer et\\xc2\\xa0al.', '(2018)\\n\\nCamerer et\\xc2\\xa0al.']"
58,57,18,57_language_talkbank_wordbank_transcripts,"['language', 'talkbank', 'wordbank', 'transcripts', 'speech', 'contains', 'acquisition', 'child', 'across', 'nlearning']","['Developmental \\n\\nresearchers have leveraged the openly shared transcripts of TalkBank to tackle questions about \\n\\n \\n\\n \\n\\n19 \\n\\n\\x0clanguage learning and speech production in monolingual and bilingual populations from diverse \\n\\ncultural communities, individuals experiencing language disfluencies (e.g., stuttering), persons \\n\\nwith autism spectrum disorder, and so on, and it even contains transcripts from classroom \\n\\nsettings.', 'One important goal of research in language acquisition is to characterize the shared \\n\\nlearning mechanisms that \\xe2\\x80\\x93 in combination with language specific environmental input \\xe2\\x80\\x93 lead to \\n\\nthe acquisition of a child\\xe2\\x80\\x99s native language(s).', 'TalkBank\\xe2\\x80\\x99s reliance on an openly shared uniform transcription format (CHAT), \\n\\nfacilitates combining language data across studies, and thus allows researchers to analyze various \\n\\ncomponents of language \\xe2\\x80\\x93 phonology, lexicon, syntax, and discourse \\xe2\\x80\\x93 across larger samples than \\n\\nwould be possible in a single lab.']"
59,58,18,58_tbi_disorder_comorbid_outcome,"['tbi', 'disorder', 'comorbid', 'outcome', 'disorders', 'ptsd', 'injury', 'severity', 'measures', 'differ']","['TBI=traumatic brain injury, \\ndMRI=diffusion magnetic resonance spectroscopy, EEG=electroencephalography, \\nrsfMRI=resting state functional MRI, tbfMRI=task based fMRI, GWAS=genome-wide \\nassociation study, CNV=copy number variation, MDD=major depressive disorder, \\nAD=anxiety disorder, PTSD=post-traumatic stress disorder, FTD=frontotemporal dementia, \\nHIV=human immunodeficiency virus, OCD=obsessive compulsive disorder, \\nADHD=attention-deficit/hyperactivity disorder, 22q DS=22q11.2 deletion syndrome.', 'Depression, PTSD, and substance use disorders (SUDs) are \\nall potentially comorbid with TBI, as either pre-injury and/or outcome so interfacing with \\nthese groups will support important cross-disorder analyses.\\n\\nENIGMA has the potential to address many of the challenges listed above.', 'Although the \\nintroduction of International Common Data Elements for TBI has facilitated use of \\nrecommended measures within a variety of outcome domains, considerable variability still \\nexists as appropriate measures differ between populations of interest (e.g., athletes vs \\nmilitary), age range (measures developed and normed for young children differ from those \\nused in older children or adults), acuity (symptoms and outcome for acute vary from those in \\nchronic phases of recovery) and severity (outcome domains and measures most relevant for \\nconcussion differ from those used in more severe TBI).']"
60,59,18,59_2022_dohle_nexperimentally_nclarify,"['2022', 'dohle', 'nexperimentally', 'nclarify', 'ziano', 'explanation', 'nhere', 'again', 'showed', 'holds']","['S. (2022).', 'K. (2022).', '\\n(2022).']"
61,60,17,60_2007_2008_edition_thiet,"['2007', '2008', 'edition', 'thiet', 'june', 'third', '2006', '2009', '', '']","['2007).', '(2007).', '(2007).']"
62,61,17,61_2019_20__,"['2019', '20', '', '', '', '', '', '', '', '']","['(2019).', '(2019).', '(2019).']"
63,62,17,62_al_2021_et_anvari,"['al', '2021', 'et', 'anvari', 'ruggeri', 'nsightful', 'nnomena', 'manley', 'tozzi', 'nchen']","['(2021), Chandrashekar, et al.', '(2021), Anvari et al.', '(2021), Ruggeri et al.']"
64,63,17,63_al_et_example_associates,"['al', 'et', 'example', 'associates', 'nlawrence', 'erlbaum', 'borer', 'hornsey', 'belliveau', 'korbmacher']","['For example, when Jakob et al.', 'For example, Korbmacher et al.', 'For example, Hornsey et al.']"
65,64,16,64_enigma_data_sharing_raw,"['enigma', 'data', 'sharing', 'raw', 'decode', 'flexible', 'is', 'sophisticated', 'shows', 'war']","['The ENIGMA approach circumvents each of these issues \\nin an innovative approach.\\n\\nFirst, to accommodate data sharing issues, contribution of raw data is not required for \\nparticipation; though processing support (at several levels) is available for groups that \\nrequest it.', 'ENIGMA is active in efforts to enhance understanding of regulations in several \\nregions of the world around data sharing, and to formulate solutions to facilitate global \\ncollaboration.\\n\\nProgress and Deliverables\\n\\nWe will continuously assess our progress to ensure that ENIGMA Brain Injury is moving the \\nfield forward and supporting the researchers involved.', 'The name ENIGMA, which Webster defines as \\xe2\\x80\\x9cmysterious, \\npuzzling, or difficult to understand or explain\\xe2\\x80\\x9d, also invokes the endeavors of the British \\nteam at Bletchley Park to decode highly sophisticated war-time communications during \\nWorld War II; similarly, ENIGMA brings investigators together to decode the complex and \\nmultifaceted factors that influence brain structure and function.']"
66,65,16,65_advances_psychological_methods_practices,"['advances', 'psychological', 'methods', 'practices', 'npractices', 'x93356', 'in', 'x93490', '443', 'science']","['Advances in Methods and Practices in Psychological Science, \\n\\n1(3), 337\\xe2\\x80\\x93356.', 'Advances  in  Methods \\nand  Practices  in  Psychological  Science,  1,  337\\xe2\\x80\\x93356.', 'Advances in Methods and \\n\\nPractices in Psychological Science.']"
67,66,15,66_nnosek_uzzi_nteachman_koffarnus,"['nnosek', 'uzzi', 'nteachman', 'koffarnus', 'nmacwhinney', 'nicebread', 'hegarty', 'bar', 'anan', 'ho']","['\\n\\nNosek, B.', '\\n\\nNosek, B.', '\\n\\nNosek, B.']"
68,67,15,67_2010_2011_outperform_nnat,"['2010', '2011', 'outperform', 'nnat', 'nkloppenborg', 'foldit', 'nhenden', 'nprice', 'stencel', 'nkim']","['(2010).', '(2010).', '(2010).']"
69,68,15,68_psa_network_secondary_psysciacc,"['psa', 'network', 'secondary', 'psysciacc', 'all', 'fund', 'sign', 'map', 'any', 'experience']","['country \\nspecific sub-analyses, or \\nconnecting data to new research \\nquestion); for ECR \\xe2\\x80\\x93 training \\n(adaptation of materials, work \\nwith Qualtrics, data collection) \\n\\nThe PSA is a Distributed \\nLaboratory Network which \\nmeans we have and recruit \\ncollaborators from any and \\nall Geopolitical regions.', '\\n\\nThe  PSA  represents  a  globally  distributed  network  of \\nlabs located on all populated continents (see https://psysci-\\nacc.org/map/  for  an  updated  map  of  all  labs)  organising \\ndata  collection  of  democratically  chosen  projects \\n(Moshontz et al., 2018).', 'The  network  regularly  issues \\ncalls for project submissions from both inside and outside \\nthe network, which are first screened by the selection com-\\nmittee, then sent out for review by at least three experts, \\nand finally voted on by all PSA members.']"
70,69,15,69_psychopharmacology_30_clinical_experimental,"['psychopharmacology', '30', 'clinical', 'experimental', 'psychopharmacol', 'nmental', 'nogy', 'n30', 'experi', 'x80']","['Experi-\\nmental and Clinical Psychopharmacology, 30(4), 466\\xe2\\x80\\x93477.', 'Experimental\\nand Clinical Psychopharmacology, 30(4), 381\\xe2\\x80\\x93399.', 'Experimental\\nand Clinical Psychopharmacology, 30(4), 409\\xe2\\x80\\x93414.']"
71,70,14,70_cognitive_aging_scores_longitudinal,"['cognitive', 'aging', 'scores', 'longitudinal', 'vetsa', 'nintegrative', 'score', 'endpoints', 'twin', 'era']","['A third approach involves \\ncalculating a cognitive composition score created by assigning weighted scores based on the \\ndegree to which an individual test score deviates from normative expectations (increased \\ndeviation, increased weight).', '\\nIntegrative  analysis  of  longitudinal  studies  on  aging: \\nCoordinated analysis of age, sex, and education effects \\non  change  in  MMSE  scores.', 'Testing a research ques-\\ntion of common interest (e.g., \\xe2\\x80\\x9cDoes education protect \\nagainst  cognitive  decline?\\xe2\\x80\\x9d;  Piccinin  et\\xc2\\xa0 al.,  2013)  on \\nexisting data sets that include the same constructs (e.g., \\nmeasures of cognitive function such as memory, reason-\\ning,  and  fluency)  and  yet  measure  them  in  disparate \\nways  in  different  populations  (e.g.,  Sweden,  Austria, \\nthe  Netherlands,  and  the  United  Kingdom)  far  more \\nsystematically assesses the generalizability of the results \\nthan relying on a single data source.']"
72,71,14,71_2012_2012b_2012a_,"['2012', '2012b', '2012a', '', '', '', '', '', '', '']","['(2012).', '(2012).', '(2012).']"
73,72,14,72_2015___,"['2015', '', '', '', '', '', '', '', '', '']","['(2015).', '(2015).', '(2015).']"
74,73,13,73_role_ambiguity_conflict_organizational,"['role', 'ambiguity', 'conflict', 'organizational', 'rahim', 'unclear', 'harassment', '2003', 'expectations', 'members']","['Jackson and Schuler (1985) Revisited: A Meta-Analysis of \\n\\nthe Relationships Between Role Ambiguity, Role Conflict, and Job Performance.', 'Role ambiguity can occur in small groups, but the number of roles in a large scientific \\nteam, combined with the specialization of roles and complex decision-making apparatus, \\nincrease the risk of role ambiguity as teams increase in size.', 'Role Conflict and Role Ambiguity: \\n\\nIntegration of the Literature and Directions for Future Research.']"
75,74,13,74_psychology_challenges_cause_five,"['psychology', 'challenges', 'cause', 'five', '104154', 'revisited', 'share', 'neglected', '95', 'american']","['\\n\\nThe challenges in psychology share a common cause \\n\\nDiscussion of the slow progress in psychology has a long history.', 'Scholars have argued \\npersuasively that each of the five challenges facing psychology has a pernicious and potentially \\ndestructive influence on scientific progress (Donoho et al., 2008; Landy et al., 2020; Meehl, \\n1978; Sears, 1986; Silberzahn et al., 2018).', '\\nAlthough often discussed separately, these five challenges may share a common cause: \\ninsufficient investment of intellectual and non-intellectual resources into the typical psychology \\nstudy.']"
76,75,12,75_behaviour_nature_human_nbehaviour,"['behaviour', 'nature', 'human', 'nbehaviour', '0088', 'infancy', 'nhuman', 'projective', 'nmeehl', '990']","['Nature Human Behaviour, \\n5(8), 990\\xe2\\x80\\x93997.', 'Nature Human Behaviour, 1(1), 0021.', 'Nature Human Behaviour.']"
77,76,12,76_computing_acm_symposium_york,"['computing', 'acm', 'symposium', 'york', 'machinery', 'conference', 'pacific', 'pp', 'nkittur', 'nassociation']","['New  York,  NY: \\nAssociation for Computing Machinery.\\n\\nKlein,  R.  A.,  Ratliff,  K.  A.,  Vianello,  M.,  Adams,  R.  B.,  Jr., \\nBahn\\xc3\\xadk,  \\xc5\\xa0.,  Bernstein,  M.  J.,  .', '\\nNew York, NY: Association for Computing Machinery.\\n\\nKittur,  A.,  Smus,  B.,  Khamkar,  S.,  &  Kraut,  R.  E.  (2011).', 'New York, NY: \\nAssociation for Computing Machinery.\\n\\nKittur, A., Lee, B., & Kraut, R. E. (2009).']"
78,77,12,77_plos_biology_e1002456_article,"['plos', 'biology', 'e1002456', 'article', '14', 'e124', '1186', 'medicine', '0030', '1991']","['PLOS  Medicine,  2(8),  Article  e124.', 'PLoS Biology, 14(5), e1002456.', 'PLOS Biology, 14(5), e1002460.']"
79,78,12,78_psychiatry_psychiatric_nbiological_translational,"['psychiatry', 'psychiatric', 'nbiological', 'translational', 'journal', 'garczarek', 'ew', 'nyue', 'e1116', 'lecky']","['Translational Psychiatry, 10(1), 1\\xe2\\x80\\x9328 [PubMed: \\n32066695] \\n\\nTozzi L, Garczarek L, Janowitz D, Stein DJ, Wittfeld K, Dobrowolny H, et al.', ""Alzheimer\\xe2\\x80\\x99s & dementia: the journal of the \\nAlzheimer's Association, 10(3 Suppl), S226\\xe2\\x80\\x9335.\\n\\nYue JK, Vassar MJ, Lingsma HF, Cooper SR, Okonkwo DO, Valadka AB, et al."", '\\nBiological psychiatry.\\n\\nMaas AIR, Menon DK, Steyerberg EW, Citerio G, Lecky F, Manley GT, et al.']"
80,79,12,79_genome_genes_association_wide,"['genome', 'genes', 'association', 'wide', 'genetic', 'variants', 'gwas', 'influences', 'relationship', 'understanding']","['In one prominent example, \\nonly 52 patients provided genetic material for an analysis of the relationship between the 5-\\nHTTLPR polymorphism and major depression (Heils et al., 1996), a finding that spurred \\nenormous interest in the biological mechanisms through which these genes might cause \\ndepression (Dannlowski et al., 2008; Gotlib et al., 2008).', 'At the time of its inception, \\nthe focus on candidate genes in imaging genetics led to a crisis of reproducibility, but less \\nbiased genome-wide association studies (GWAS) required tens or hundreds of thousands of \\nparticipants to achieve significance.', 'The crowdsourced generation and selection of \\nresearch  ideas  is  one  way  to  open  up  data  sets  and \\ncollaboration  opportunities  that  would  otherwise \\nremain closed to most scientists.\\n\\nAssembling resources\\nGenome-wide association studies distribute the task of \\ninvestigating the entire genome across many collabora-\\ntors and institutions with specialized roles, leading to \\nimportant discoveries related to genes and pathways of \\ncommon diseases (Visscher, Brown, McCarthy, & Yang, \\n2012).']"
81,80,12,80_osf_io_31234_https,"['osf', 'io', '31234', 'https', 'doi', 'nrg', '10', 'org', 'ntubre', '9d3yf']","['https://doi.org/10.31234/osf.io/cvpuw \\n\\nCorvin, A., Craddock, N., & Sullivan, P. F. (2010).', 'https://doi.o\\n\\nrg/10.31234/osf.io/9d3yf \\n\\nLane, D. M., & Dunlap, W. P. (1978).', 'https://doi.org/10.31234/osf.io/frgzq \\n\\nRuggeri, K. (2020, May 19).']"
82,81,11,81_accelerator_npsychological_network_collaborative,"['accelerator', 'npsychological', 'network', 'collaborative', 'distributed', 'advancing', 'lessons', 'nthrough', 'nmanybabies', 'building']","['The Psychological Science Accelerator: Advancing Psychology \\n\\nthrough a Distributed Collaborative Network.', 'The Psychological Science Accelerator: Advancing Psychology \\n\\nThrough a Distributed Collaborative Network.', 'The \\npsychological science accelerator: Advancing psychology \\nthrough  a  distributed  collaborative  network.']"
83,82,11,82_1126_aac4716_10_doi,"['1126', 'aac4716', '10', 'doi', 'aab2374', 'science', 'nnosek', 'org', '1061619', 'bialas']","['https://doi.org/10.1126/science.aac4716 \\n\\nOsborne, T. L., & Luoma, J.', 'Science 349,\\nhttp://dx.doi.org/10.1126/science.aac4716.\\n\\nSekar, A., Bialas, A.R., de Rivera, H., Davis, A.,\\nHammond, T.R., Kamitaki, N., Tooley, K., Presu-\\nmey, J., Baum, M., Van Doren, V., et al.', '\\n\\nhttps://doi.org/10.1126/science.aab2374 \\n\\nNosek, B.']"
84,83,11,83_big_team_science_psychology,"['big', 'team', 'science', 'psychology', 'if', 'tackle', 'psychological', 'potential', 'nbig', 'training']","['If the unique risks and challenges of big team science \\nare properly understood and managed, this method of collaboration may have great potential to \\nimprove the efficiency and information value of psychological science.', '\\n\\nFor example, the first Psychological Science \\nAccelerator  study  examined  how  people \\naround the world judge others on the basis \\n\\n\\x0cEXAMPLES OF BIG-TEAM SCIENCE\\nLarge teams of researchers have come together in various ways to tackle difficult questions in science, from soil samples to cancer biology.', '\\n\\nBig team science outside of psychology \\n\\nSome disciplines have already adopted a big team science model, so they can provide \\n\\nuseful examples of how big team science organizations can arise.']"
85,84,11,84_guard_changing_policies_resistance,"['guard', 'changing', 'policies', 'resistance', 'article', 'changes', 'outcomes', 'ncollaborative', 'crossing', 'slate']","['These behavioral patterns provide constraints to the improvement and \\nbetterment of efforts to changing of the guard.\\nThe Solution\\nThis  article  highlights  new  and  improved  methods  for  working  in  collaborative \\nenvironments.', 'Emergent outcomes result from \\ncollaborative practices by autonomous agents that are self-organizing and free of con-\\nstraints\\xe2\\x80\\x94the essence of changing of the guard.', 'The current article focuses on the col-\\nlaborative aspects that can lead to, or emerge into, successful outcomes when changing \\nof the guard becomes essential.\\n\\nThe remainder of this article is organized by highlighting the burgeoning trends in \\ncollaborative research, primarily multiauthored research by disparate researchers.']"
86,85,11,85_2013_1994_1992_pp,"['2013', '1994', '1992', 'pp', '', '', '', '', '', '']","['(2013).', '(2013).', '(2013).']"
87,86,10,86_crowd_nsourcing_projects_dimension,"['crowd', 'nsourcing', 'projects', 'dimension', 'benefits', 'chosen', 'communication', 'curated', 'degree', 'vary']","['The circumstances under which conformity \\neffects occur in crowd science remains an open empiri-\\ncal  question,  and  future  projects  should  consider \\nmanipulating factors such as task interdependence and \\nanonymity of communications.\\n\\nAllowing information exchange and creating inter-\\ndependencies  between  project  members  also  comes \\nwith potential important benefits.', 'If the mul-\\ntifold  aspects  of  an  academic\\xe2\\x80\\x99s  workflow  are  made \\ntransparent, decision makers can move beyond heuris-\\ntics and use more complete information to better allo-\\ncate rewards on the basis of merit.\\n\\nIntegrating crowd science into pedagogy\\nAnother  way  to  encourage  crowd  science  is  to  build \\nsuch  initiatives  into  activities  that  scientists  in  many \\nfields already do routinely, such as collecting data in \\nmethods  classes  for  student  projects  and  analyzing \\ncomplex data sets as part of graduate education (Everett \\n& Earp, 2015; Frank & Saxe, 2012; Grahe et\\xc2\\xa0al., 2012; \\nMavor  et\\xc2\\xa0 al.,  2016).', 'Crowd-science \\ninitiatives also vary in their inclusivity, from open calls \\nfor  collaborators  to  carefully  chosen  groups  of  topic \\nexperts.\\n\\nFigure 1 crosses the horizontal dimension of com-\\nmunication (anchored at the left end by curated con-\\ntributions and at the right by crowd collaboration) with \\nthe vertical dimension of selectivity to create a 2 \\xc3\\x97 2 \\nmatrix.']"
88,87,10,87_irb_approval_irbs_may,"['irb', 'approval', 'irbs', 'may', 'ap', 'having', 'where', 'countries', 'institution', 'one']","['It is also possible that in-\\nstitutions  or  journals  require  approval  from  each  institu-\\ntion\\xe2\\x80\\x99s IRB.', 'However, having obtained ap-\\nproval from one institution can often speed up the process \\nas it may provide another IRB with extra confidence where \\nother colleagues have already approved it.', 'In general, there are two \\n\\noptions: a centralised approval from the PI\\xe2\\x80\\x99s Institutional \\nReview  Board  (IRB)  or  approval  from  the  PI\\xe2\\x80\\x99s  institution \\nand at least one IRB per country.']"
